FIPS,vets_2016
21207,"1,084"
21209,"3,203"
21211,"2,773"
21213,"1,191"
21215,"1,198"
21217,"1,500"
21219,861
21221,"1,497"
21223,618
21225,921
21227,"7,130"
21229,628
21231,"1,118"
21233,854
21235,"2,496"
21237,355
21239,"1,685"
22001,"3,229"
22003,"1,364"
22005,"5,839"
22007,"1,077"
22009,"2,485"
22011,"3,527"
22013,"1,043"
22015,"14,841"
22017,"18,711"
22019,"14,346"
22021,624
22023,392
22025,493
22027,"1,022"
22029,"1,174"
22031,"1,938"
22033,"23,870"
22035,322
22037,"1,084"
22039,"1,725"
22041,"1,190"
22043,"1,563"
22045,"3,515"
22047,"1,497"
22049,"1,109"
22051,"23,581"
22053,"2,057"
22055,"13,746"
22057,"4,077"
22059,906
22061,"2,489"
22063,"8,736"
22065,536
22067,"1,737"
22069,"2,427"
22071,"18,397"
22073,"9,717"
22075,"1,726"
22077,"1,247"
22079,"10,593"
22081,492
22083,"1,101"
22085,"1,817"
22087,"1,858"
22089,"3,108"
22091,529
22093,"1,026"
22095,"2,683"
22097,"4,687"
22099,"2,836"
22101,"2,937"
22103,"18,765"
22105,"6,979"
22107,279
22109,"5,799"
22111,"1,650"
22113,"3,153"
22115,"8,339"
22117,"3,144"
22119,"2,858"
22121,"1,314"
22123,567
22125,634
22127,866
23001,"9,941"
23003,"6,770"
23005,"20,032"
23007,"2,731"
23009,"4,969"
23011,"10,795"
23013,"3,530"
23015,"3,326"
23017,"5,541"
23019,"13,231"
23021,"1,965"
23023,"4,107"
23025,"4,866"
23027,"3,500"
23029,"3,386"
23031,"18,094"
24001,"6,254"
24003,"52,909"
24005,"49,081"
24009,"9,682"
24011,"2,371"
24013,"10,716"
24015,"7,436"
24017,"17,123"
24019,"2,614"
24021,"17,586"
24023,"2,344"
24025,"19,896"
24027,"18,347"
24029,"1,845"
24031,"43,450"
24033,"60,379"
24035,"3,778"
24037,"12,990"
24039,"1,731"
24041,"3,430"
24043,"11,299"
24045,"7,074"
24047,"4,916"
24510,"31,785"
25001,"19,397"
25003,"9,103"
25005,"30,829"
25007,946
25009,"36,954"
25011,"5,098"
25013,"28,069"
25015,"9,467"
25017,"62,839"
25019,584
25021,"32,408"
25023,"32,218"
25025,"21,194"
25027,"47,151"
26001,"1,509"
26003,957
26005,"6,920"
26007,"2,757"
26009,"2,168"
26011,"1,321"
26013,768
26015,"4,443"
26017,"7,495"
26019,"1,777"
26021,"11,355"
26023,"2,921"
26025,"10,963"
26027,"4,162"
26029,"2,228"
26031,"2,484"
26033,"3,310"
26035,"2,715"
26037,"4,925"
26039,"1,564"
26041,"3,936"
26043,"2,662"
26045,"7,226"
26047,"2,546"
26049,"27,435"
26051,"2,412"
26053,"1,623"
26055,"6,426"
26057,"2,531"
26059,"3,341"
26061,"2,701"
26063,"2,407"
26065,"14,212"
26067,"4,041"
26069,"3,245"
26071,"1,417"
26073,"3,089"
26075,"10,997"
26077,"13,826"
26079,"1,574"
26081,"32,560"
26083,306
26085,"1,174"
26087,"6,069"
26089,"1,889"
26091,"7,420"
26093,"10,863"
26095,531
26097,"1,038"
26099,"49,596"
26101,"2,455"
26103,"6,422"
26105,"2,537"
26107,"3,045"
26109,"2,301"
26111,"5,238"
26113,"1,101"
26115,"11,416"
26117,"4,516"
26119,"1,071"
26121,"12,964"
26123,"3,763"
26125,"60,366"
26127,"2,111"
26129,"2,248"
26131,898
26133,"2,046"
26135,960
26137,"2,262"
26139,"13,912"
26141,"1,388"
26143,"2,811"
26145,"13,968"
26147,"13,029"
26149,"3,917"
26151,"2,935"
26153,763
26155,"4,850"
26157,"4,031"
26159,"4,909"
26161,"14,315"
26163,"91,203"
26165,"2,682"
27001,"1,874"
27003,"22,462"
27005,"3,058"
27007,"3,111"
27009,"3,012"
27011,448
27013,"3,740"
27015,"1,893"
27017,"2,882"
27019,"4,685"
27021,"3,023"
27023,822
27025,"3,995"
27027,"3,858"
27029,875
27031,458
27033,817
27035,"5,861"
27037,"25,689"
27039,"1,349"
27041,"3,095"
27043,"1,183"
27045,"1,483"
27047,"2,541"
27049,"3,738"
27051,508
27053,"56,055"
27055,"1,391"
27057,"2,062"
27059,"2,871"
27061,"4,354"
27063,756
27065,"1,411"
27067,"2,516"
27069,316
27071,"1,186"
27073,607
27075,"1,100"
27077,377
27079,"1,952"
27081,492
27083,"1,482"
27085,"2,706"
27087,377
27089,623
27091,"1,621"
27093,"1,795"
27095,"2,287"
27097,"2,735"
27099,"2,745"
27101,720
27103,"2,004"
27105,"1,141"
27107,493
27109,"9,594"
27111,"4,985"
27113,954
27115,"2,526"
27117,657
27119,"2,236"
27121,908
27123,"25,203"
27125,259
27127,"1,103"
27129,"1,067"
27131,"4,123"
27133,668
27135,"1,150"
27137,"16,024"
27139,"6,722"
27141,"5,892"
27143,894
27145,"10,246"
27147,"2,485"
27149,557
27151,683
27153,"1,925"
27155,329
27157,"1,833"
27159,"1,225"
27161,"1,277"
27163,"14,467"
27165,797
27167,459
27169,"2,889"
27171,"7,823"
27173,768
28001,"1,852"
28003,"1,924"
28005,762
28007,"1,166"
28009,368
28011,"1,342"
28013,746
28015,571
28017,788
28019,567
28021,420
28023,"1,014"
28025,"1,127"
28027,"1,101"
28029,"1,720"
28031,"1,266"
28033,"10,685"
28035,"5,913"
28037,498
28039,"1,344"
28041,771
28043,"1,463"
28045,"4,130"
28047,"22,664"
28049,"13,826"
28051,571
28053,389
28055,71
28057,"1,343"
28059,"14,422"
28061,"1,040"
28063,276
28065,752
28067,"4,138"
28069,615
28071,"2,312"
28073,"3,927"
28075,"6,369"
28077,717
28079,"1,201"
28081,"5,181"
28083,"1,228"
28085,"1,809"
28087,"4,796"
28089,"5,755"
28091,"1,436"
28093,"1,815"
28095,"2,441"
28097,707
28099,"1,657"
28101,"1,576"
28103,414
28105,"2,065"
28107,"1,957"
28109,"4,618"
28111,892
28113,"2,598"
28115,"1,538"
28117,"1,234"
28119,346
28121,"9,130"
28123,"1,290"
28125,206
28127,"1,565"
28129,852
28131,"1,388"
28133,"1,092"
28135,635
28137,"1,536"
28139,"1,095"
28141,"1,151"
28143,477
28145,"1,499"
28147,732
28149,"2,953"
28151,"2,671"
28153,956
28155,631
28157,316
28159,"1,081"
28161,790
28163,"1,311"
29001,"1,524"
29003,"1,184"
29005,465
29007,"1,777"
29009,"3,031"
29011,899
29013,"1,203"
29015,"2,258"
29017,822
29019,"10,062"
29021,"6,867"
29023,"3,778"
29025,811
29027,"3,527"
29029,"4,509"
29031,"6,032"
29033,757
29035,617
29037,"8,441"
29039,"1,344"
29041,606
29043,"7,031"
29045,463
29047,"17,604"
29049,"2,037"
29051,"6,474"
29053,"1,299"
29055,"2,236"
29057,744
29059,"1,532"
29061,717
29063,931
29065,"1,407"
29067,939
29069,"2,041"
29071,"8,131"
29073,"1,420"
29075,494
29077,"21,578"
29079,877
29081,753
29083,"2,095"
29085,869
29087,388
29089,760
29091,"3,543"
29093,900
29095,"47,746"
29097,"7,943"
29099,"17,916"
29101,"6,503"
29103,286
29105,"3,128"
29107,"2,758"
29109,"3,258"
29111,806
29113,"3,915"
29115,907
29117,"1,158"
29119,"1,850"
29121,"1,252"
29123,"1,111"
29125,932
29127,"2,204"
29129,273
29131,"2,174"
29133,826
29135,"1,052"
29137,601
29139,914
29141,"1,993"
29143,"1,346"
29145,"4,431"
29147,"1,307"
29149,902
29151,992
29153,"1,101"
29155,"1,110"
29157,"1,417"
29159,"3,533"
29161,"4,067"
29163,"1,324"
29165,"6,791"
29167,"2,463"
29169,"8,318"
29171,463
29173,813
29175,"1,852"
29177,"1,923"
29179,652
29181,"1,200"
29183,"26,722"
29185,"1,027"
29186,"1,371"
29187,"5,295"
29189,"61,182"
29195,"1,689"
29197,276
29199,348
29201,"3,006"
29203,669
29205,471
29207,"2,533"
29209,"3,363"
29211,402
29213,"4,851"
29215,"2,427"
29217,"1,606"
29219,"2,750"
29221,"1,979"
29223,"1,298"
29225,"2,724"
29227,181
29229,"1,586"
29510,"17,636"
30001,770
30003,624
30005,453
30007,648
30009,"1,027"
30011,100
30013,"11,156"
30015,408
30017,"1,069"
30019,156
30021,710
30023,923
30025,165
30027,"1,012"
30029,"8,755"
30031,"6,003"
30033,71
30035,702
30037,80
30039,388
30041,"1,325"
30043,"1,376"
30045,180
30047,"2,700"
30049,"6,713"
30051,139
30053,"2,504"
30055,143
30057,730
30059,198
30061,565
30063,"8,537"
30065,553
30067,"1,421"
30069,22
30071,386
30073,505
30075,114
30077,728
30079,115
30081,"4,532"
30083,853
30085,616
30087,714
30089,"1,418"
30091,257
30093,"2,965"
30095,847
30097,358
30099,610
30101,470
30103,70
30105,701
30107,192
30109,95
30111,"13,508"
31001,"2,247"
31003,538
31005,35
31007,42
31009,32
31011,420
31013,867
31015,197
31017,248
31019,"2,645"
31021,537
31023,602
31025,"2,826"
31027,645
31029,286
31031,497
31033,718
31035,496
31037,502
31039,621
31041,746
31043,"1,104"
31045,692
31047,"1,087"
31049,192
31051,425
31053,"2,944"
31055,"33,438"
31057,175
31059,464
31061,252
31063,199
31065,326
31067,"1,625"
31069,177
31071,181
31073,139
31075,68
31077,192
31079,"4,004"
31081,794
31083,300
31085,117
31087,225
31089,785
31091,66
31093,512
31095,569
31097,338
31099,523
31101,734
31103,60
31105,307
31107,737
31109,"18,048"
31111,"3,026"
31113,72
31115,65
31117,40
31119,"2,340"
31121,648
31123,330
31125,248
31127,552
31129,474
31131,"1,254"
31133,224
31135,196
31137,595
31139,569
31141,"2,033"
31143,374
31145,851
31147,726
31149,120
31151,830
31153,"18,791"
31155,"1,668"
31157,"2,575"
31159,"1,064"
31161,431
31163,274
31165,112
31167,380
31169,455
31171,56
31173,363
31175,371
31177,"1,509"
31179,602
31181,306
31183,74
31185,858
32001,"3,523"
32003,"151,579"
32005,"4,916"
32007,"3,187"
32009,97
32011,273
32013,"1,215"
32015,427
32017,419
32019,"6,445"
32021,600
32023,"6,261"
32027,486
32029,465
32031,"36,096"
32033,783
32510,"5,223"
33001,"5,678"
33003,"4,729"
33005,"6,460"
33007,"3,365"
33009,"7,276"
33011,"29,963"
33013,"12,818"
33015,"23,281"
33017,"10,650"
33019,"3,898"
34001,"15,558"
34003,"29,500"
34005,"32,631"
34007,"27,505"
34009,"8,195"
34011,"7,624"
34013,"23,251"
34015,"16,835"
34017,"14,567"
34019,"6,052"
34021,"13,576"
34023,"27,266"
34025,"27,102"
34027,"20,206"
34029,"41,058"
34031,"14,904"
34033,"4,371"
34035,"10,684"
34037,"8,199"
34039,"16,253"
34041,"6,182"
35001,"53,591"
35003,339
35005,"5,098"
35006,"1,756"
35007,"1,363"
35009,"5,169"
35011,192
35013,"14,459"
35015,"3,904"
35017,"3,189"
35019,305
35021,113
35023,311
35025,"3,461"
35027,"2,172"
35028,"1,353"
35029,"2,079"
35031,"3,171"
35033,334
35035,"8,680"
35037,857
35039,"2,217"
